,pdbchain,all_len,Recovery rate,Aligned len,Protein length,recTM-score,recRMSD
245,1gqo_I,141,0.6950354609929078,1.0,100,0.99026,0.44
3942,1gqo_X,133,0.6466165413533834,1.0,100,0.98969,0.44
2431,3ff7_D,112,0.38392857142857145,1.0,100,0.98774,0.44
1815,1v7r_A,186,0.3924731182795699,1.0,200,0.99214,0.45
2440,2rbg_B,124,0.27419354838709675,1.0,100,0.98808,0.45
89,4o9k_A,130,0.36153846153846153,1.0,100,0.98886,0.45
3139,2wfc_C,159,0.36477987421383645,1.0,200,0.99089,0.45
3519,6ch3_B,162,0.30246913580246915,1.0,200,0.99121,0.45
3173,6ok0_B,129,0.2713178294573643,1.0,100,0.98878,0.45
859,1f9a_E,164,0.2621951219512195,1.0,200,0.99117,0.45
3278,2qzt_A,108,0.32407407407407407,1.0,100,0.98643,0.45
3934,6q6p_A,156,0.3141025641025641,1.0,200,0.99075,0.45
1623,6jfw_A,141,0.375886524822695,1.0,100,0.99017,0.45
3941,1gqo_H,141,0.6312056737588653,1.0,100,0.98979,0.45
2040,4hoi_A,113,0.2920353982300885,1.0,100,0.98704,0.45
1405,2vvr_D,146,0.3767123287671233,1.0,100,0.99011,0.45
2904,5xz4_B,167,0.24550898203592814,1.0,200,0.99132,0.45
3645,3kpb_C,119,0.4117647058823529,1.0,100,0.98779,0.45
2533,6kfq_A,229,0.31877729257641924,1.0,200,0.99383,0.45
1967,4u8u_E,148,0.24324324324324326,1.0,100,0.99026,0.45
560,2oiw_D,130,0.24615384615384617,1.0,100,0.98883,0.45
2865,1yhu_H,149,0.3087248322147651,1.0,100,0.99048,0.45
521,4r01_B,210,0.34285714285714286,1.0,200,0.99313,0.45
1693,1v2z_A,106,0.24528301886792453,1.0,100,0.98605,0.45
1329,1gqo_D,141,0.6595744680851063,1.0,100,0.98915,0.46
1980,3ajx_B,207,0.4251207729468599,1.0,200,0.99281,0.46
1569,3ctl_B,219,0.3470319634703196,1.0,200,0.99317,0.46
1944,3hdg_A,124,0.33064516129032256,1.0,100,0.98792,0.46
2337,4glt_B,202,0.29207920792079206,1.0,200,0.99254,0.46
1299,4u8u_T,148,0.30405405405405406,1.0,100,0.98967,0.46
3776,2p8t_A,184,0.3804347826086957,1.0,200,0.99203,0.46
2631,3d9n_A,138,0.21014492753623187,1.0,100,0.98921,0.46
1397,2ekd_D,203,0.3399014778325123,1.0,200,0.99274,0.46
1292,4nt1_C,199,0.24623115577889448,1.0,200,0.99232,0.46
852,5tcm_B,115,0.33043478260869563,1.0,100,0.98674,0.46
2820,1yad_C,190,0.3631578947368421,1.0,200,0.99202,0.46
2042,2qrw_I,127,0.4094488188976378,1.0,100,0.98829,0.46
2119,1z54_C,129,0.37209302325581395,1.0,100,0.98846,0.46
2299,4iqg_C,247,0.48582995951417,1.0,200,0.9938,0.46
2156,5tcm_C,115,0.3739130434782609,1.0,100,0.98659,0.46
1206,6o7u_o,156,0.358974358974359,1.0,200,0.9904,0.46
4128,3cqb_B,101,0.2871287128712871,1.0,100,0.98504,0.46
602,4llo_H,110,0.21818181818181817,1.0,100,0.98563,0.47
921,2ekd_A,203,0.35467980295566504,1.0,200,0.99235,0.47
3306,2vvr_E,147,0.3945578231292517,1.0,100,0.98917,0.47
1847,3ia4_D,161,0.30434782608695654,1.0,200,0.99048,0.47
2532,6nx3_D,159,0.32075471698113206,1.0,200,0.99001,0.47
2013,5l2v_A,166,0.3313253012048193,1.0,200,0.99043,0.47
210,3pm6_A,287,0.3170731707317073,1.0,300,0.99442,0.47
2159,4u8u_m,148,0.2635135135135135,1.0,100,0.98967,0.47
828,2hq7_B,142,0.2605633802816901,1.0,100,0.98893,0.47
1268,5tcm_A,116,0.33620689655172414,1.0,100,0.98666,0.47
1949,5uw8_E,106,0.36792452830188677,1.0,100,0.98519,0.47
3873,5xub_A,144,0.25,1.0,100,0.98945,0.47
1720,6nd9_O,191,0.3036649214659686,1.0,200,0.99175,0.47
3058,3o1k_A,117,0.3162393162393162,1.0,100,0.98625,0.47
1208,4u8u_i,148,0.28378378378378377,1.0,100,0.98944,0.47
3429,2gc7_C,105,0.3238095238095238,1.0,100,0.98488,0.47
256,3liy_C,116,0.3620689655172414,1.0,100,0.98672,0.47
2513,6qu0_A,211,0.33649289099526064,1.0,200,0.99252,0.47
1480,4llo_F,121,0.2727272727272727,1.0,100,0.98677,0.47
1126,4eoy_B,123,0.2601626016260163,1.0,100,0.9874,0.47
2020,6nd9_R,191,0.3089005235602094,1.0,200,0.99186,0.47
254,5bxy_B,153,0.39869281045751637,1.0,200,0.98991,0.47
32,1gqo_S,141,0.6666666666666666,1.0,100,0.98868,0.47
2266,2igi_A,180,0.3388888888888889,1.0,200,0.99084,0.48
678,5m9n_B,198,0.3484848484848485,1.0,200,0.99164,0.48
2200,4iwk_F,158,0.6012658227848101,1.0,200,0.98985,0.48
2065,4glt_C,202,0.3118811881188119,1.0,200,0.99191,0.48
3877,4p5p_A,224,0.29464285714285715,1.0,200,0.99254,0.48
3656,1yck_A,167,0.2874251497005988,1.0,200,0.99026,0.48
875,2qzt_B,110,0.2727272727272727,1.0,100,0.98509,0.48
412,2ekd_E,203,0.33497536945812806,1.0,200,0.99213,0.48
3545,3ez0_B,213,0.22065727699530516,1.0,200,0.99239,0.48
1848,2yma_B,132,0.2727272727272727,1.0,100,0.98746,0.48
2776,5vg0_A,142,0.3732394366197183,1.0,100,0.98833,0.48
2068,6ceq_A,111,0.3063063063063063,1.0,100,0.98545,0.48
27,4u8u_A,148,0.3108108108108108,1.0,100,0.98891,0.48
1430,1vsr_A,134,0.23134328358208955,1.0,100,0.98753,0.48
1426,4i1s_A,238,0.2605042016806723,1.0,200,0.99312,0.48
39,3oco_A,136,0.25,1.0,100,0.98783,0.48
3882,3qvl_B,245,0.3673469387755102,1.0,200,0.99328,0.48
4068,5cn2_B,114,0.2894736842105263,1.0,100,0.98526,0.48
2287,6ok0_D,129,0.2868217054263566,1.0,100,0.98757,0.48
3820,3mcs_A,217,0.2534562211981567,1.0,200,0.99247,0.48
4008,4hoi_C,110,0.2636363636363636,1.0,100,0.98513,0.48
3791,1yad_A,190,0.3736842105263158,1.0,200,0.99135,0.48
2617,2rbg_A,124,0.28225806451612906,1.0,100,0.98719,0.48
3124,4euk_A,136,0.40441176470588236,1.0,100,0.98797,0.48
1125,1fth_B,116,0.4051724137931034,1.0,100,0.98563,0.48
2434,6jfw_C,141,0.36879432624113473,1.0,100,0.98875,0.48
2430,2gc7_K,105,0.34285714285714286,1.0,100,0.98417,0.48
4139,1z54_B,131,0.37404580152671757,1.0,100,0.98764,0.48
984,2cxh_A,180,0.34444444444444444,1.0,200,0.99093,0.48
207,1yhu_P,149,0.30201342281879195,1.0,100,0.98897,0.48
223,6vo6_B,309,0.37540453074433655,1.0,300,0.99431,0.49
3714,6q6p_B,157,0.3375796178343949,1.0,200,0.98947,0.49
671,1yya_A,250,0.432,1.0,200,0.99317,0.49
4075,1au1_A,166,0.21686746987951808,1.0,200,0.98974,0.49
697,2qg8_A,136,0.33088235294117646,1.0,100,0.98743,0.49
2140,3o1k_D,118,0.288135593220339,1.0,100,0.98579,0.49
4159,3mcs_B,218,0.24770642201834864,1.0,200,0.99204,0.49
3540,3v69_B,112,0.33035714285714285,1.0,100,0.98487,0.49
2998,1f9a_D,164,0.2804878048780488,1.0,200,0.98963,0.49
1281,1yhu_T,149,0.30201342281879195,1.0,100,0.98878,0.49
1731,4zrm_B,308,0.3538961038961039,1.0,300,0.99419,0.49
4216,3tou_B,202,0.3217821782178218,1.0,200,0.99166,0.49
50,4zqu_A,124,0.2903225806451613,1.0,100,0.98604,0.49
1711,5eo4_C,152,0.2631578947368421,1.0,200,0.98865,0.49
2868,1hru_A,186,0.3817204301075269,1.0,200,0.99081,0.49
1436,1yhu_X,149,0.33557046979865773,1.0,100,0.98851,0.49
2554,6lm1_C,226,0.3053097345132743,1.0,200,0.99242,0.49
22,4o9k_B,128,0.234375,1.0,100,0.98688,0.49
2763,1f9a_F,164,0.2865853658536585,1.0,200,0.98968,0.49
1499,1l3i_E,186,0.42473118279569894,1.0,200,0.99102,0.49
1541,4ovm_H,126,0.29365079365079366,1.0,100,0.98679,0.49
1567,2fwm_X,212,0.4669811320754717,1.0,200,0.99186,0.49
3985,5uw8_D,102,0.3333333333333333,1.0,100,0.98262,0.49
1613,3w7a_C,210,0.38571428571428573,1.0,200,0.99188,0.49
3093,5z9z_A,101,0.26732673267326734,1.0,100,0.98314,0.49
332,2arc_A,161,0.32298136645962733,1.0,200,0.98945,0.49
328,4x1o_A,219,0.3744292237442922,1.0,200,0.99207,0.49
1786,6ceq_C,111,0.3153153153153153,1.0,100,0.98434,0.49
3497,1yhu_L,149,0.30201342281879195,1.0,100,0.98858,0.49
796,4u8u_I,148,0.28378378378378377,1.0,100,0.9884,0.49
2194,1vk2_A,190,0.3631578947368421,1.0,200,0.99091,0.49
806,2j1v_B,136,0.27941176470588236,1.0,100,0.98748,0.49
167,2id1_A,120,0.3,1.0,100,0.98574,0.49
4015,4s1h_B,279,0.32974910394265233,1.0,300,0.99361,0.49
156,3cwf_A,108,0.3055555555555556,1.0,100,0.98471,0.49
2193,4yp6_C,169,0.33136094674556216,1.0,200,0.98979,0.49
902,2gc7_G,105,0.3333333333333333,1.0,100,0.9836,0.49
917,2dtx_B,255,0.44313725490196076,1.0,300,0.99308,0.49
3327,1byr_A,152,0.28289473684210525,1.0,200,0.98886,0.49
3251,1v4p_C,155,0.36129032258064514,1.0,200,0.9892,0.49
2216,3kpb_D,119,0.3949579831932773,1.0,100,0.98602,0.49
4048,1gqo_U,141,0.6312056737588653,1.0,100,0.98815,0.49
2031,2bwq_A,122,0.3360655737704918,1.0,100,0.98551,0.5
314,5xly_B,121,0.2975206611570248,1.0,100,0.98527,0.5
3924,2is8_B,161,0.453416149068323,1.0,200,0.98904,0.5
1999,5cn2_A,115,0.2956521739130435,1.0,100,0.98444,0.5
3865,2vvr_C,147,0.3673469387755102,1.0,100,0.98819,0.5
3875,3dmc_B,134,0.373134328358209,1.0,100,0.98673,0.5
2422,1ztc_B,209,0.3827751196172249,1.0,200,0.99154,0.5
543,2bd0_A,240,0.42083333333333334,1.0,200,0.99247,0.5
1738,6i3n_I,103,0.3883495145631068,1.0,100,0.98274,0.5
1296,4mk3_A,203,0.33004926108374383,1.0,200,0.9912,0.5
1718,1xt8_A,250,0.356,0.992,200,0.9849,0.5
1345,4nt1_A,199,0.2814070351758794,1.0,200,0.99124,0.5
2872,5ceg_B,103,0.2524271844660194,1.0,100,0.98224,0.5
1755,1fth_C,113,0.2920353982300885,1.0,100,0.98418,0.5
2864,1gqo_T,141,0.6879432624113475,1.0,100,0.98738,0.5
1557,1nlq_A,104,0.27884615384615385,1.0,100,0.98255,0.5
1651,4aly_A,211,0.2559241706161137,1.0,200,0.99163,0.5
2677,2bd0_D,240,0.3875,1.0,200,0.99246,0.5
2654,3hvw_A,159,0.27044025157232704,1.0,200,0.98887,0.5
2633,3ff7_C,112,0.36607142857142855,1.0,100,0.98441,0.5
2780,1gqo_E,141,0.6737588652482269,1.0,100,0.98764,0.5
3100,6wt5_C,151,0.26490066225165565,1.0,200,0.98833,0.5
1779,3r03_A,131,0.3893129770992366,1.0,100,0.98633,0.5
1788,3oi8_B,154,0.3116883116883117,1.0,200,0.98851,0.5
3651,3fs7_F,107,0.40186915887850466,1.0,100,0.98341,0.5
708,5cy4_B,177,0.3389830508474576,1.0,200,0.99003,0.5
3538,6euw_A,156,0.27564102564102566,1.0,200,0.98871,0.5
3508,5dkv_C,298,0.34563758389261745,1.0,300,0.99393,0.5
3481,1l3i_F,186,0.4032258064516129,1.0,200,0.99066,0.5
3466,6vlw_G,170,0.3058823529411765,1.0,200,0.98976,0.5
3446,1eo6_B,117,0.358974358974359,1.0,100,0.98472,0.5
3406,2zsk_B,226,0.3805309734513274,1.0,200,0.99219,0.5
3311,3r5z_A,140,0.32142857142857145,1.0,100,0.98726,0.5
2442,1gqo_F,141,0.6666666666666666,1.0,100,0.98766,0.5
1808,3tuf_A,115,0.3130434782608696,1.0,100,0.98426,0.5
2446,1gqo_Q,141,0.6524822695035462,1.0,100,0.98772,0.5
1793,2oiw_C,133,0.2781954887218045,1.0,100,0.98648,0.5
2043,5xdm_B,109,0.30275229357798167,1.0,100,0.98347,0.5
2381,3v69_A,116,0.25,1.0,100,0.98489,0.5
4152,3o63_A,214,0.37383177570093457,1.0,200,0.9918,0.5
4179,1l6r_B,225,0.3422222222222222,1.0,200,0.99211,0.5
4129,3n1f_A,151,0.3443708609271523,1.0,200,0.9885,0.5
165,6nx3_C,158,0.2848101265822785,1.0,200,0.989,0.5
122,3ez0_A,216,0.23148148148148148,1.0,200,0.99191,0.5
2086,2q88_A,257,0.32684824902723736,1.0,300,0.99311,0.5
1770,6dhs_A,174,0.3160919540229885,1.0,200,0.98962,0.51
2458,4qqh_A,130,0.26153846153846155,1.0,100,0.98589,0.51
1122,3kpb_B,119,0.40336134453781514,1.0,100,0.98456,0.51
1955,1ex2_B,185,0.34594594594594597,1.0,200,0.99008,0.51
2445,2o0q_A,114,0.32456140350877194,1.0,100,0.98361,0.51
575,5cy4_F,182,0.34065934065934067,1.0,200,0.98994,0.51
198,4iqg_D,248,0.49193548387096775,1.0,200,0.99247,0.51
2569,2igi_B,179,0.31843575418994413,1.0,200,0.98973,0.51
3217,6qur_A,193,0.37305699481865284,1.0,200,0.99063,0.51
4012,5zgo_C,178,0.4550561797752809,1.0,200,0.98969,0.51
595,6i3n_E,103,0.3786407766990291,1.0,100,0.9817,0.51
109,4hi7_B,219,0.4155251141552511,1.0,200,0.99137,0.51
4195,1sgj_A,231,0.36363636363636365,1.0,200,0.99203,0.51
2753,2gtl_A,147,0.30612244897959184,1.0,100,0.98788,0.51
2847,4u8u_X,148,0.32432432432432434,1.0,100,0.98757,0.51
2850,1wu3_I,161,0.19875776397515527,1.0,200,0.98885,0.51
3853,6jyg_D,307,0.31921824104234525,1.0,300,0.99374,0.51
2170,5epe_A,248,0.3588709677419355,1.0,200,0.99253,0.51
2919,1ji0_A,239,0.37656903765690375,1.0,200,0.99235,0.51
2920,2voz_A,313,0.3801916932907348,1.0,300,0.99391,0.51
1482,5n9m_B,239,0.3472803347280335,1.0,200,0.99217,0.51
4215,2j7q_A,232,0.31896551724137934,1.0,200,0.99192,0.51
2988,3r0n_A,128,0.359375,1.0,100,0.98579,0.51
1676,6nx3_E,159,0.3081761006289308,1.0,200,0.98845,0.51
1242,5xz4_A,167,0.31736526946107785,1.0,200,0.98893,0.51
1241,4m0k_A,173,0.4393063583815029,1.0,200,0.9894,0.51
3021,3dr6_B,168,0.2857142857142857,1.0,200,0.98899,0.51
82,6nx3_F,159,0.32075471698113206,1.0,200,0.98832,0.51
2707,4e3z_B,228,0.4956140350877193,1.0,200,0.99178,0.51
1063,1l3i_A,186,0.40860215053763443,1.0,200,0.9903,0.51
3565,1gz0_E,166,0.30120481927710846,1.0,200,0.98893,0.51
4106,6i3n_F,103,0.4077669902912621,1.0,100,0.98213,0.51
276,4g4f_A,114,0.34210526315789475,1.0,100,0.98352,0.51
3420,3wcy_I,160,0.21875,1.0,200,0.9889,0.51
2639,6ep3_A,215,0.28837209302325584,1.0,200,0.9913,0.51
4114,1f9a_B,164,0.35365853658536583,1.0,200,0.98862,0.51
2410,7jja_A,180,0.31666666666666665,1.0,200,0.9897,0.51
2641,4llo_D,110,0.3090909090909091,1.0,100,0.9837,0.51
3382,3b12_B,294,0.3469387755102041,1.0,300,0.99359,0.51
4009,3oec_A,276,0.4673913043478261,1.0,300,0.99324,0.51
2335,5ies_C,167,0.32335329341317365,1.0,200,0.98924,0.51
2090,2g6z_A,147,0.38095238095238093,1.0,100,0.98735,0.51
3332,1o5x_B,239,0.35564853556485354,1.0,200,0.9922,0.51
3971,4llo_B,121,0.2644628099173554,1.0,100,0.98457,0.51
1443,6rhf_A,106,0.3867924528301887,1.0,100,0.9824,0.51
2693,3oco_B,136,0.25735294117647056,1.0,100,0.98658,0.51
2683,6lm0_B,227,0.2555066079295154,1.0,200,0.99174,0.51
3621,3lec_A,225,0.31555555555555553,1.0,200,0.99162,0.51
967,3wur_A,162,0.35802469135802467,1.0,200,0.9888,0.51
992,3s5p_B,125,0.328,1.0,100,0.98512,0.51
3433,4yh2_A,221,0.40271493212669685,1.0,200,0.99136,0.52
1737,2hq7_A,141,0.2978723404255319,1.0,100,0.98704,0.52
2171,5fb3_D,336,0.36904761904761907,1.0,300,0.99398,0.52
4092,3efa_A,146,0.2808219178082192,1.0,100,0.98683,0.52
720,4ivf_D,219,0.3972602739726027,1.0,200,0.99115,0.52
1722,2ekd_B,203,0.3399014778325123,1.0,200,0.99068,0.52
1007,2is8_A,159,0.4339622641509434,1.0,200,0.98833,0.52
1352,3feu_A,183,0.3005464480874317,1.0,200,0.98965,0.52
1355,5eo4_A,155,0.2709677419354839,1.0,200,0.98808,0.52
1365,1ws0_A,151,0.304635761589404,1.0,200,0.98761,0.52
2360,1sgj_C,231,0.35064935064935066,1.0,200,0.99153,0.52
4245,4s1h_A,287,0.2961672473867596,1.0,300,0.9932,0.52
40,2id1_B,120,0.30833333333333335,1.0,100,0.98416,0.52
4103,5uh7_B,133,0.3082706766917293,1.0,100,0.98561,0.52
3487,2qrw_K,127,0.33070866141732286,1.0,100,0.98496,0.52
1897,2qrw_A,126,0.373015873015873,1.0,100,0.98481,0.52
1899,1gqo_P,141,0.6666666666666666,1.0,100,0.98653,0.52
1748,4rw0_A,184,0.32065217391304346,1.0,200,0.98975,0.52
631,3oec_B,271,0.4833948339483395,1.0,300,0.99293,0.52
639,3lwc_A,104,0.3173076923076923,1.0,100,0.9816,0.52
3627,6lhy_A,177,0.22033898305084745,1.0,200,0.98925,0.52
4073,5u4z_B,177,0.23163841807909605,1.0,200,0.98911,0.52
2071,6on6_A,108,0.28703703703703703,1.0,100,0.98228,0.52
2314,2qrw_L,126,0.36507936507936506,1.0,100,0.98491,0.52
3133,3gv1_A,140,0.3,1.0,100,0.98618,0.52
3293,3llw_B,288,0.28125,1.0,300,0.99308,0.52
4171,3o63_B,210,0.3380952380952381,1.0,200,0.99075,0.52
1958,1my7_B,102,0.22549019607843138,1.0,100,0.98111,0.52
1441,2o5h_A,128,0.265625,1.0,100,0.98532,0.52
1142,2ekd_C,203,0.31527093596059114,1.0,200,0.99069,0.52
1855,5uw8_C,101,0.36633663366336633,1.0,100,0.98074,0.52
1858,4e3z_A,231,0.5281385281385281,1.0,200,0.99181,0.52
4067,3fvv_B,221,0.38009049773755654,1.0,200,0.99123,0.52
2465,6ajp_A,206,0.3106796116504854,1.0,200,0.99072,0.52
1806,3hk4_D,116,0.3103448275862069,1.0,100,0.98335,0.52
187,6pjv_A,152,0.3026315789473684,1.0,200,0.9875,0.52
3036,3d9n_B,140,0.21428571428571427,1.0,100,0.98659,0.52
1982,2ibg_H,140,0.32857142857142857,1.0,100,0.98642,0.52
1842,3kkz_B,250,0.316,1.0,200,0.99234,0.52
480,6lm0_A,240,0.26666666666666666,1.0,200,0.99183,0.52
624,4ybm_B,170,0.3058823529411765,1.0,200,0.98902,0.52
3743,3nv0_A,196,0.25510204081632654,1.0,200,0.99041,0.52
1660,1gqo_R,141,0.6595744680851063,1.0,100,0.98642,0.52
316,3klb_A,162,0.35185185185185186,1.0,200,0.98824,0.52
315,2dtx_A,255,0.45098039215686275,1.0,300,0.99299,0.52
311,4zej_B,219,0.365296803652968,1.0,200,0.99124,0.52
1516,4r9x_A,225,0.3688888888888889,1.0,200,0.99148,0.52
3895,2dc3_B,168,0.31547619047619047,1.0,200,0.98878,0.52
2234,3vcf_A,160,0.25625,1.0,200,0.98801,0.52
2650,3iqc_B,101,0.25742574257425743,1.0,100,0.98089,0.52
2593,2wfc_D,159,0.3710691823899371,1.0,200,0.98824,0.52
246,4h7l_A,115,0.28695652173913044,1.0,100,0.98358,0.52
1627,4ag7_B,164,0.3353658536585366,1.0,200,0.98861,0.52
2044,2rhw_A,283,0.36042402826855124,1.0,300,0.99308,0.52
1228,3wpw_A,149,0.37583892617449666,1.0,100,0.98664,0.53
1287,3ovu_B,144,0.3125,1.0,100,0.98647,0.53
2209,3d3k_C,233,0.36909871244635195,1.0,200,0.99125,0.53
3148,1y5e_B,160,0.375,1.0,200,0.98816,0.53
1120,2iml_A,191,0.3717277486910995,1.0,200,0.98961,0.53
96,3k2y_A,103,0.2912621359223301,1.0,100,0.98066,0.53
2017,2ejn_B,145,0.33793103448275863,1.0,100,0.98661,0.53
2025,1l6r_A,225,0.32,1.0,200,0.99107,0.53
3117,4h7l_B,117,0.23931623931623933,1.0,100,0.98412,0.53
3107,4in9_A,161,0.30434782608695654,1.0,200,0.98778,0.53
3102,3ctl_C,219,0.3150684931506849,1.0,200,0.99095,0.53
3010,1gqo_G,141,0.6524822695035462,1.0,100,0.98597,0.53
1172,1smk_H,313,0.41533546325878595,1.0,300,0.99337,0.53
3088,5ilg_B,258,0.4108527131782946,1.0,300,0.99233,0.53
340,6i3n_A,103,0.3786407766990291,1.0,100,0.98025,0.53
1182,6t02_A,155,0.2838709677419355,1.0,200,0.98745,0.53
482,3kcu_B,252,0.2777777777777778,1.0,300,0.99213,0.53
3032,3wam_A,115,0.25217391304347825,1.0,100,0.98263,0.53
2301,1gqo_O,141,0.6595744680851063,1.0,100,0.98622,0.53
3074,3ajx_C,207,0.4396135265700483,1.0,200,0.99037,0.53
2473,6i3n_G,103,0.3883495145631068,1.0,100,0.9807,0.53
2755,1m5i_A,105,0.20952380952380953,1.0,100,0.98091,0.53
496,1l3i_C,186,0.45161290322580644,1.0,200,0.98957,0.53
1950,2ayh_A,214,0.34579439252336447,1.0,200,0.99054,0.53
4086,2j9w_A,101,0.27722772277227725,1.0,100,0.98061,0.53
2712,5mpo_C,132,0.25,1.0,100,0.98522,0.53
178,3l1w_A,252,0.2896825396825397,1.0,300,0.9921,0.53
779,3ajr_B,308,0.36038961038961037,1.0,300,0.99325,0.53
798,3tfg_A,183,0.31693989071038253,1.0,200,0.98933,0.53
3468,5d1v_A,121,0.4214876033057851,1.0,100,0.98365,0.53
2626,1gqo_B,143,0.6783216783216783,1.0,100,0.98612,0.53
4006,4ovm_D,125,0.352,1.0,100,0.98438,0.53
161,3hjn_A,189,0.3915343915343915,1.0,200,0.98968,0.53
2395,1yya_B,250,0.436,1.0,200,0.99198,0.53
157,3suk_A,124,0.3790322580645161,1.0,100,0.98413,0.53
265,2c3n_A,239,0.4100418410041841,1.0,200,0.99149,0.53
690,2h98_A,216,0.32407407407407407,1.0,200,0.99071,0.53
2649,3mz1_D,212,0.29245283018867924,1.0,200,0.99045,0.53
676,3b12_A,294,0.35034013605442177,1.0,300,0.99314,0.53
3582,6a4d_B,182,0.3021978021978022,1.0,200,0.9896,0.53
3337,2wfc_B,159,0.3522012578616352,1.0,200,0.98741,0.53
2421,1q23_B,217,0.2672811059907834,1.0,200,0.99076,0.53
3597,6i3n_C,103,0.3883495145631068,1.0,100,0.98062,0.53
4127,4ex6_A,219,0.4246575342465753,1.0,200,0.99084,0.53
952,6jv4_C,220,0.35454545454545455,1.0,200,0.9909,0.53
982,6i3n_K,103,0.3883495145631068,1.0,100,0.98068,0.53
4145,1hru_B,184,0.42934782608695654,1.0,200,0.98929,0.53
191,6nx3_A,158,0.33544303797468356,1.0,200,0.98756,0.53
615,6i3n_L,103,0.3883495145631068,1.0,100,0.98065,0.53
3247,6ub7_A,254,0.31496062992125984,1.0,300,0.99202,0.53
2968,6d0t_A,111,0.3333333333333333,1.0,100,0.98223,0.53
2714,6l4p_A,195,0.3487179487179487,1.0,200,0.98982,0.53
1313,2qrw_H,127,0.36220472440944884,1.0,100,0.98419,0.53
